,number of stars,date,profile_name,review
10,5.0 out of 5 stars,Reviewed in India on 4 June 2021,Sukanta N,"It is a perfect value for money Laptop from ASUS. it is just for daily users not for gamer or edition person. I have purchased this for office work and my daughter online classes.It is really working fine. Batter life around 4-5 hrs off moderate use. Sound is good. Weight is balanced. It comes with Finger print sensor, which is fats and accurate.Don't worry about basic processor Like Intel celeron. SSD did all. Fast and smooth. U can shutdown and ON your laptop within 10 second. Restart time arround 7 second.Go for it to work moderate on daily basis.ASUS made it possible with the attractive purchase range."
11,1.0 out of 5 stars,Reviewed in India on 28 July 2021,Amazon Customer,"Please dont buy.I have used for 1 month.Laptop hangs many times,Now  not starting even though charging is full.Company cheating with customers..."
12,5.0 out of 5 stars,Reviewed in India on 7 July 2021,w.gomes,"I was looking for a laptop that wasn't too expensive but had enough power to get office work, web browsing etc done. I feel glad I came accross the vivobook. It's quite good for what I had to pay in return and I would suggest anyone wanting to buy this to go for it."
13,2.0 out of 5 stars,Reviewed in India on 14 March 2022,Krishan,The media could not be loaded.
14,5.0 out of 5 stars,Reviewed in India on 18 June 2021,Suhas Mudliar,"Best configuration at this Price ₹23k.Does the job, and does it well. Bought it for my daughter's online schooling. No issues so far.Superfast booting and shut down speed. Extra wide screen, well placed key board, biggest mousepad, separate number pad on right side, fingerprint sensor.  What more you want! Integrated Graphics card is giving desired output with speed. All branded components, with no frills.Speakers are giving crystal clear sounds.Looks are good but Silver colour finish is little bit on whiter side. Looks like plastic. Very thin, and I think 'handle with card product.Overall happy with the buy."
15,4.0 out of 5 stars,Reviewed in India on 30 November 2021,SAL,"Features mentioned are incorrect for display  and resolution. It is not FHD it is only HD . Given resolution is incorrect . There are conflicting info given in site.There is no Micro SD card reader available in this laptop.Read only product information section.Just with windows 10 running only with edge browser open cpu is 100 % in use and memory is at 70% use. So 4 gb ram is not enough.It is as good as chrome book . Functionality and its use is very limited .Boot time is very good around 25seconds.Good for browsing , short term video 30min max due to overheating issue.Ms team or zoom is ok but long hours being online may overheat the laptop. VGA webcam , so quality cannot be expected.Ms office apps are working fine , open only one at a time . CPU will run at max always 2.8ghz..no room to expand.Unable to upgrade to windows 11 , keeps telling to download and install but never happens. No error and nothing works. Windows 10 updated and works fine."
16,5.0 out of 5 stars,Reviewed in India on 1 November 2021,Shubham Kumar,"I'm using this laptop since 4 months. My experience with it has been very satisfying. First of all, would like to say thanks to Amazon for fast delivery and good packaging. Coming to the laptop, it is a good laptop.The screen is good, clarity is nice despite HD only resolution. The speakers sound loud and with audio enhancement inbuilt, the sound is crisp. Ideal for watching movies. It is running Celeron processor which is meant for basic tasks but surprisingly coupled with 256GB SSD, normal tasks such as browsing, reading, document editing with Office feels smooth. But remember it isn't for gaming or heavy tasks. Battery life been great due to power efficient Celeron processor. Earlier I used Core i5 10th gen, although it was powerful but battery life wasn't that great. My usage is light with some browsing, content consumption and editing documents which this laptop serves without breaking a sweat. The fingerprint scanner is nice addition which I find very useful. No need to input pin everytime to unlock. Scanner response is pretty good. Front camera is okay if there's sufficient light in the room as you'd find in this budget. Overall, I'm very happy with my purchase."
17,3.0 out of 5 stars,Reviewed in India on 31 October 2021,Ravi,"The media could not be loaded.
                



 Negative1.Fingerprints slow he kaafi2.Battery backup kam he3.video quality hd nahi lgta he.4.ssd storage he but slow boot hota he.Positive1.lockdown ke wajah se iss price me yani ke 25 k  me laptop milna muskil tha . But mil gya2. Laptop ka look kaafi premium and slim he3. Students jo online class karta he uske liye thk he"
18,5.0 out of 5 stars,Reviewed in India on 7 March 2022,Mahesh Mahadev Dhulap,I like this
19,1.0 out of 5 stars,Reviewed in India on 8 October 2021,Prem maheshwarkar,"This laptop sucks. No doubt what did I expect after purchasing a ASUS. The laptop does remarkable job to representing the company name, quality and service.  My laptop sporadically stops working for no good reason not even after a month I bought it. Not recommended if you want mental peace. Very dissappointed"
20,5.0 out of 5 stars,Reviewed in India on 22 March 2022,ujjwal,"I was sceptical to buy Celeron processor but I bought this because it has M.2 ssd which means laptop SSD speed is high and it's turning on in 5 secs. It has 2.8ghz processor which is also enough if you're a everyday laptop user or even you can do low to mid level programming like Java, python they can run smoothly so go for it if you're looking for a laptop which is under 30k.Also, i played 4k videos on YouTube and it was running smoothly.If you a Bca or b tech student and you don't have high budget you can go for it will serve you enough.Cons :-Maximum RAM you can upgrade is 8 gb."
21,5.0 out of 5 stars,Reviewed in India on 15 July 2022,Rohit Kumar,"The media could not be loaded.
                



 This is such a premium looking laptop at this price point. Extremely light weight, classy looking body and keyboard, ssd boot, pre-installed windows 10, fingerprint recognition along with new features from the updated os. Everything is beautiful in both form and function. I am very satisfied with it, the packaging and even the small and compact power cable. Can't believe something so good can be available at this price point. The boot time is significantly fast than other laptops, comparable with macbook. I am techy and very nitpicky about gadget features and specifications at a given price. So this laptop is awesome in every sense!Thankyou"
22,5.0 out of 5 stars,Reviewed in India on 4 December 2021,Rahul yadav,"The media could not be loaded.
                



 I talk to asus service centre they say price in amazon high price should be less than 24,000And laptop Look is slim , and easy to use or superb quality."
23,1.0 out of 5 stars,Reviewed in India on 21 July 2021,ambuj,After opening the laptop and setting id’s and all and then restarting it OS crashed and I have to return the laptop.Nothing went well for me so I have to return this laptop
24,5.0 out of 5 stars,Reviewed in India on 28 June 2021,Sunil,"My kids Nursery classes started online this academic year and I though to purchase a basic laptop for him, and this one suitably serves the purpose for him. Please note incase applicable; The WebEx virtual background feature will not work on anything below the I3 range of processors, therefore it won't work on this one."
25,3.0 out of 5 stars,Reviewed in India on 28 May 2022,Rahul,"When I unboxed the product , My brain striked out like 'is this the Used one?' Laptop gets lag while using multiple applications.... This was not expected! It was not up to the mark which I was in..... Amazon please take of the products Which are highly at cost and offers!! Its my sincere request not to sell used laptops as Fresh one please..... Thankyou Team AMAZON"
26,1.0 out of 5 stars,Reviewed in India on 19 April 2022,Amirtha V.,Ordered ASUS VIVO BOOK 15 laptop for the first time and it was defective as the battery didn't stay long and the total system is too slow...So proceeded for exchanges...For exchange progress it took more than 7 days where technical team visited only for the formality..They took the lap and exchanged with another laptop on the second one which doesn't have camera facilities 🙁 So again we switched to refund process..After they collect the lap from us they told we will receive the amount to the Original payment method within Sunday(I.e-17 april) Until now there is no progress from the company side. The total process took for a month...The laptop was delivered to us on March 17 and still the process is happening...Worst customer service by the company haven't seen such service in Amazon online shopping experience.
27,5.0 out of 5 stars,Reviewed in India on 24 June 2021,JS94,"It got the Great looks for sure!!Feels light & easy to carryBattery charges quicklySSD is really fast here!!Display is just okCamera is averageGaming, can run wellVery Decent laptopFor basic operationsto students & teachersBuy it only if you get itfor a good good dealIn any trusted website."
28,5.0 out of 5 stars,Reviewed in India on 8 July 2021,Amazon Customer,"This product is very outstanding if you're looking for a pc for either home,school or college use. Even though product comes with intel celeron processor, it does the job with the help of ssd. Boot up time, battery, picture, fingerprint and sound quality are very good. Awesome design as well. You cannot do gaming. Expanding the ram and ssd would fasten the system. It is light weight and useful for general browsing, home and office works, watching movies etc."
29,4.0 out of 5 stars,Reviewed in India on 5 July 2021,Sumanta Majumdar,"I had an urgent requirement for a regular use laptop for my sister and searched amazon to find this one.Really very good deal under 23k since you are getting 256ssd for this price along with upgradable memory which originally is 4gb out of the box.Overall quality is good with quality speakers and good enough screen even though it is not full HD. But overall specs are also par for the course considering the price and brand of ASUS.But dont expect gaming in this laptop since after all it a celeron processor.I was pleasantly surprised to see a fingerprint sensor which in today's world, laptops costing 3 times more than this dont even provide. So kudos to ASUS for that."
30,5.0 out of 5 stars,Reviewed in India on 4 April 2022,sulal,1.Speed is good no lag. Same as an i3 processor2.Sound is very good3.Got it for 17k after exchange of my old lap4.Weight is also less at max 1.5kg5.Saperate ssd sata or hdd sata slot other than the inbuit ssd 256 which is a boon.Go for it without doubt....6. Screen is also good.
31,1.0 out of 5 stars,Reviewed in India on 9 August 2021,kuldeep yadav,Everything is fine till now in laptop except one thing that I got new laptop with many scratch marks on top which will give the feeling that we are using second hand laptop instead of new.I don't think so we can expect this type of service from such a big company like Amazon.
32,5.0 out of 5 stars,Reviewed in India on 24 March 2022,Sunil Kumar,"Good product below 30k price range. Speed and look is very good, and display is okay.I bought windows 11 variant in 27k, however I feel windows 10 variant could have landed in 25k, but it was unavailable from a month."
33,5.0 out of 5 stars,Reviewed in India on 2 December 2021,Amit Sharma,"I really appreciate this kind of lappiReally never expected such a good speed from that 24000 rs. LaptopReallly it is worthyDisplay is also very good in this segmentDont compare this with i3Rather it is much good for browsing, normal working, movies, trading and yesInternet also supports 5gSo need of any lan cable or usb to lan adaptorHi speed wi fi already give us high speed.If yu have low budget definitely go for itOr if you have high budgetBut need a laptop for normal or average purposePlease dont waste yur money in 45000 rs. Laptop or i3 11 generation.Just go for it.I bet you blessed me"
34,1.0 out of 5 stars,Reviewed in India on 23 June 2021,asif khan,I had bought this only browsing but still it's not working
35,3.0 out of 5 stars,Reviewed in India on 15 March 2022,Hodor,If you just want to watch movies and browse limited tabs than this is for you. I bought it for my grandfather to watch Netflix only. Other than that it is slow and not reliable for work or student life. Please check the specs before you buy
36,5.0 out of 5 stars,Reviewed in India on 23 June 2021,Sanjay Negi,Nice laptop higher res compared to others in this price range which is nice. Very quick laptop loads up in a snap and the finger print reader actually works well.Very nice machine for the price - I am a happy customer :)
37,5.0 out of 5 stars,Reviewed in India on 12 March 2022,Sunita Kumari,Good for students and office purpose
38,5.0 out of 5 stars,Reviewed in India on 7 September 2021,Ayyappan,Good product for online calss purpose. SSD is very useful. Fast. Coming with Windows 10 OS. Camera is good. Keypads are projected from the base. Easy for kids to operate. Battery back up is perfect. Screen size is bit small. But ok at this cost. Need to install MS Office on our own cost.
39,4.0 out of 5 stars,Reviewed in India on 27 April 2022,Manoj P K,"After one week light usage, this is the feeling: Decent laptop for everyday use.Looks good, working smoothly ( browsing, document editing, music, movie, light gaming like 3D chess etc), fast booting, finger print scanner is a highlight, display is nice, good keypad- separate num keys (although missing num lock indication light), good touch pad, sound output quality is good, above average battery life depending upon the usage.Operating system is windows 11, updated properly & working smoothly.Thank you Asus & Amazon Team !!"
40,3.0 out of 5 stars,Reviewed in India on 20 June 2021,Mayuranathan D,"Returned back and return processed First time had a problem with start as even after pressing power button it was not getting on immediately after 2 days of operation,Second time it happened after a week, It was subsequently corrected by the service engineer. After two days again it got stuck, none of the key was functioning thats why I decided to return since it is hardly 20 days from the purchase and there is some problem or the other frequently"
41,5.0 out of 5 stars,Reviewed in India on 5 August 2021,manish saxena,"The media could not be loaded.
                



 Great product.. Sound quality is awesome. Best laptop in this price range for basic use. Haven't tried gaming yet but being a student this is the best option."
42,1.0 out of 5 stars,Reviewed in India on 17 July 2021,Lembisana laishram,"Screen is not smart, btw it's good for now"
43,5.0 out of 5 stars,Reviewed in India on 8 May 2022,Varun chakri,"A good one for a student for coding purpose using via python, c, c+. High speed finger print sensor. Worth of it. Only thing I felt is that a build quality should be improved for better experience and the charger should be some what a good one to be  provided."
44,4.0 out of 5 stars,Reviewed in India on 19 June 2022,abuthahir,"The media could not be loaded.
                



 Item was good but screen quality & speed for low"
45,1.0 out of 5 stars,Reviewed in India on 26 June 2021,Amazon Customer,The laptop is not worth. It is very slow in starting. You can't even complete the settings because it keeps on hanging. It starts making weird sounds anytime.
46,5.0 out of 5 stars,Reviewed in India on 6 May 2022,Mohammad Arif,Actually I needed a budget laptop for my clinic to keep records and print prescriptions.Boot and shut down times are around 10 to 15 seconds only. Openning and closing apps is pretty fast. Doesn't hang or lag. All in all a good purchase. Go for it. You wouldn't regret.
47,1.0 out of 5 stars,Reviewed in India on 9 October 2021,Sekhar,The wrost things of this laptop is heating issue both charger and laptop battery when u charging . too much disappointed.and also here show a dell mouse is free when u brought this product but the seller don't given me fraud seller
48,4.0 out of 5 stars,Reviewed in India on 17 July 2021,Sumith,Good performance so far. Happy with the purchase. Well suited for online classes and light domestic use. Experienced a slight malfunctioning of fingerprint scanner once. Was a minor software glitch which was easily fixed after 10 min online research.
49,4.0 out of 5 stars,Reviewed in India on 26 December 2021,Razaul Mustafa Ansari,"Using this from last 1 month, it works smoothly for basic office work or online meetings. It provided free upgrade to Windows 11 too. If you want a laptop for basic office work or for study purpose, this is ideal. Don't know about the gaming."
50,5.0 out of 5 stars,Reviewed in India on 27 June 2021,Mahendran m,It's one those for online classes I have checked everything available online. At the end you can only choose this laptop for this budget. Before lockdown it looks like it was much cheaper few bought at 19k I bought this at 22k with offer.
51,5.0 out of 5 stars,Reviewed in India on 4 July 2021,Debanjan Sen,"This product is excellent for daily use. Tasks associated with MS office, reading PDFs and online classes are very well managed by this system. The SSD gives a better edge to the performance. There is a dual storage facility available. Overall the laptop is a winner in terms of performance ( only if one does not play games in it). Light weight and battery backup is a plus point along with the portability and silver colour looks awesome.A must go for academicians and professionals."
52,5.0 out of 5 stars,Reviewed in India on 28 August 2021,Manish,"I upgradade to asus from my old dell Laptop, I got a massive discount , and This Asus is value for money as it has a SSD not HDD or hybrid. Which usually last longer, And speed is one of the advantages too."
53,2.0 out of 5 stars,Reviewed in India on 13 August 2021,Snehal Thakor,"Looking at the memory card socket in the photo, but when I received the laptop, there is no memory card socket in it."
54,4.0 out of 5 stars,Reviewed in India on 3 September 2021,Mudassar Shaikh,"You get what you pay for, I bought it for kids online classes and till now it is working very well for thatDon't expect it to support high end apps"
55,5.0 out of 5 stars,Reviewed in India on 7 July 2022,Danny,Very rich look and best quality laptop in this price range. All basics work easy done. But can't play heavy game as due to low configuration. Happy with the laptop no issues so far.
56,5.0 out of 5 stars,Reviewed in India on 23 June 2021,Akshita swarnkar,Posting review after 3 days of useLaptop is vary attractive... Looks like a vary costly laptop....Bootup vary fast...thaks nvme SSDbattry backup is about 4 and a half hourCharge fast and not faced any heating issueOverall satisfied with this product.
57,5.0 out of 5 stars,Reviewed in India on 1 August 2022,Aditya Kumar,Design And Colour Is So Good .Not For Gaming But At This Price Range I suggest to Buy It Is For Especially Personal Use.
58,1.0 out of 5 stars,Reviewed in India on 16 November 2021,ashish raghuwanshi,"The media could not be loaded.
                



 Not working now..Used it only for normal work but after factory reset not working. Anyone can help?"
59,1.0 out of 5 stars,Reviewed in India on 17 August 2021,MUKESH KUMAR AGARWAL,Not bad
60,3.0 out of 5 stars,Reviewed in India on 6 July 2022,vishal,"In my case i need cheapest laptop for my some work, that does not need high spec laptop, so i bought this.Price to product and performance ratio is good, but if you have some budget flexibility then please consider intel i3 processor or AMD ryzen 3 processor laptops."
61,5.0 out of 5 stars,Reviewed in India on 6 July 2021,Arbaz Mirza,Laptop is good for basic use but if u install games in this like gta san andreas vice cityIt gets stuck and keys don’t work in this situation so u will have to shut downIts good for basic use like browsing email watching movies modify documents
62,5.0 out of 5 stars,Reviewed in India on 30 July 2021,Babu,"Very good looking, fast to boot and niceWindows 10 with SSD is a value which nothing in this budget offers.Got for 23k"
63,1.0 out of 5 stars,Reviewed in India on 12 August 2021,Fragile,"Bettery life isn't good. Finger reader is good, it got lack"
64,5.0 out of 5 stars,Reviewed in India on 17 May 2021,Bhavesh jain,It is best laptop. The performance of is best.It have fingerprint scanner also.  Best laptop in this price.
65,5.0 out of 5 stars,Reviewed in India on 8 January 2022,Mohit Shukla,"Very nice laptop for students  , these laptop is not made for gaming and battery life is alsoVery good ."
66,5.0 out of 5 stars,Reviewed in India on 26 November 2021,Tanmay Adhikary,"Have been using it for last 3 months!!As a student its best option. Not for gaming (low end processer). Boots in 10 seconds, no lag at all, wonderful sound quality, good looking and also has a fingerprint sensor.So just go fot it if your budget is around 24k to 25k."
67,5.0 out of 5 stars,Reviewed in India on 10 July 2022,Ashu yadav,this product is just wow! the best product under this price range. you can use for office and home. its camera quality is much better😍
68,5.0 out of 5 stars,Reviewed in India on 6 February 2022,𝐑𝐚𝐡𝐮𝐥 𝐑𝐚𝐣,I bought it in ₹25000And believe me it gives me expected performance 🚩Battery is around 5-6 hrsThe best part of this laptop is that anyone can never believe that the price of this laptop. The laptop is looking premium ❤️
69,5.0 out of 5 stars,Reviewed in India on 18 June 2021,Amazon Customer,I have bought this laptop for official work and being not so expensive it has fulfilled every aspect of my expectations .... Just the perfect laptop in this segment ..no lags n feels premium.
70,2.0 out of 5 stars,Reviewed in India on 14 April 2022,Manish,"The media could not be loaded.
                



 Dear Amazon team,Good day!There is a problem in laptop.the mouse icon and given button not working. Also it's not showing in desktop.we need to change as soon as possible..Regards,Manish"
71,4.0 out of 5 stars,Reviewed in India on 29 December 2021,shivam yadav,I purchased it almost one months ago its working well looks so premium I'm glad to buy this product. Best laptop for beginners and students who usually take their classes and some other things like coding and editing (not good for editing) so value for money product
72,5.0 out of 5 stars,Reviewed in India on 28 May 2021,Harikrishna,Very good happy with thatGood battery 🔋 back-upSound quality is also goodSo thin and light weightGood for multimedia and office works
73,1.0 out of 5 stars,Reviewed in India on 8 April 2022,chitta ronjon das,It's processor is very slow.
74,5.0 out of 5 stars,Reviewed in India on 24 May 2021,PARIM CHAKRAVARTHI,"The media could not be loaded.
                



 Except camera and display color accuracy every thing is great like ssd battery finger print sensor sound quality is very nice and it has 15.6 inch screen with good battery life about 4-5hrs in normal usage. Go-ahead it's asus."
75,4.0 out of 5 stars,Reviewed in India on 2 July 2021,SANTHOSH,"writing after 15dyas of using. I got it for 23000 and at this price, it's really a good deal, go for it if u need a laptop for basic work.good battery life, but the webcam has little poor quality and since it has ssd it has good speed finally the good thing is it has an anti-glare screen."
76,1.0 out of 5 stars,Reviewed in India on 13 April 2022,zaserkhan,"WORST LAPTOP, MONEY WASTE. DON'T BUY THIS. NEED TO RETURN THIS TO GET BETTER VERSION LAPTOP OR REFUND BUT AMAZON NOT ACCEPTING IT. WORST SERVICE. NEED TO CHANGE THE BETTER VERSION LAPTOP BY REPLACING THIS. ANYONE HAVE SUGGESTION PLEASE LET ME KNOW."
77,5.0 out of 5 stars,Reviewed in India on 26 April 2022,Yuvraj Chauhan,"The overall laptop is good but i am not able to use the microsoft softwares with the help of product key , i've been trying to contact to the seller and also to the help center of asus but no one is responding . can anybody help me with that ??"
78,1.0 out of 5 stars,Reviewed in India on 24 March 2022,Alex,"Such low specs that even audio on zoom calls does not work saying 'not enough system resources', even when no other apps are running"
79,3.0 out of 5 stars,Reviewed in India on 18 August 2021,Nikhil Patil,The laptop was good but the storage is low as mentioned in Amazon there is 256 SSD but in actual there is only 237 SSD and for use only199 SSD storage so it's very bad thing I realized
80,5.0 out of 5 stars,Reviewed in India on 29 August 2021,Sameer,In this price range it is the best product...I m fully impressed with this laptop💻💻I recommended to all those buyer who want to buy in this price range... 😍😍😍😍
81,3.0 out of 5 stars,Reviewed in India on 29 July 2022,Amazon Customer,Slow to respond..  suitable only for light use...suitable for kids and lighter documentation kind of jobs.
82,4.0 out of 5 stars,Reviewed in India on 31 October 2021,Dev,Purchased with windows life time free feature. But not yet activated even after checking in Asus support center we simply heard that this laptop doesn't comes with life time free windows key. Now Amazon should help me with this problem !!?
83,1.0 out of 5 stars,Reviewed in India on 30 July 2022,Hamad shafi ,"It was a diffective one, after a new laptop start shutdown after 4-5 days then screen went off permanentlyThanks to Amazon i received refund without any problemThanks for Amazon customer service;))"
84,5.0 out of 5 stars,Reviewed in India on 20 March 2022,Muhammad F.,"As it is good for coding ,so Code-With-Harry suggested and i  Brought it for 25k . It has been 4 months and still obsessed with it."
85,5.0 out of 5 stars,Reviewed in India on 15 December 2021,Kasip Khan,"The media could not be loaded.
                



 Awesome product , everything is going fine , got Windows 11 after unboxing immediately ... But the screen could be more good ..... But as my first laptop this have a great importance to me 😍😍🥰🥰"
86,5.0 out of 5 stars,Reviewed in India on 11 May 2022,Honnappa Jadi,Super fast you will also got game pass for free
87,3.0 out of 5 stars,Reviewed in India on 27 May 2021,Gautam Patel,Display is not up to the mark
88,3.0 out of 5 stars,Reviewed in India on 16 November 2021,sanoop,"I gifted it to my dad, for personal use. It's good for normal usage doesn't support heavy usage much. Good product!"
89,5.0 out of 5 stars,Reviewed in India on 23 December 2021,Quantum Retail,"Value for money. Good laptop at competitive price. Not for Gamers, High End Programmers, Multimedia Photo/Video Editors. Suitable for travel and office/ student use."
90,4.0 out of 5 stars,Reviewed in India on 29 August 2021,Kailash pawdel,"Pros: screen, smaller in size, touchpad and keyboardCons: finger print sensor, delicate indeed very delicate.. can't bend over 120°"
91,5.0 out of 5 stars,Reviewed in India on 29 July 2022,Asad Ali,Likes-Looks/DesignBuild QualityFingerprint SensorDisplayDislikes-Keyboard feedbackSSD size( they should provide 500GB SSD for Rs2k more)
92,5.0 out of 5 stars,Reviewed in India on 12 August 2021,naren,"The media could not be loaded.
                



 Overall it's a good product for basic use if you don't do video editing and high level processing task...it's ok for video editing too but it takes more time bought in 24900rs"
93,3.0 out of 5 stars,Reviewed in India on 11 April 2022,Mohd Arsalan,Very nice laptop i am happy to buy this product in the price range of 27 K screen quality is good and fingerprint scanner is also good My decision to buy this Asus product was good for me.
94,3.0 out of 5 stars,Reviewed in India on 6 December 2021,Rahul,"You can play only some normal games like beach buggy, hill climb, subway surfers etcIt's battery is amazing it lasts for near about 7 hrs on continuous use, u can also take online class etc ..........."
95,5.0 out of 5 stars,Reviewed in India on 4 August 2022, Nirmal Kumar Rout,I use it as my personal computer for all sorts of activities.
96,3.0 out of 5 stars,Reviewed in India on 24 July 2021,Kamal,Laptop is good value for money for online classes. Webcam video quality is a let down. Otherwise good laptop in this budget
97,5.0 out of 5 stars,Reviewed in India on 19 January 2022,ayushi dixit,Under budget good
98,5.0 out of 5 stars,Reviewed in India on 16 July 2021,Ullas Arjun,Does the job. Good quality
99,5.0 out of 5 stars,Reviewed in India on 5 August 2021,Vaibhav k,I was doubtful before buying but its truly amazing...works really fast...web cam is good ...ssd drive... 6 hours backup...15.6 inch super bright screen... what else u can ask within  25 k.. go for it
